e_commerce,produto,preco_bruto,preco_numerico,preco_bruto_vista,preco_original,nota_media,num_comentarios
Magalu,Smartphone Moto G15 256GB Grafite Vegan Leather Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 15 Motorola,,998.89,"998,89",N/A,4.8,2988.0
Magalu,Carregador Turbo Fonte 20w Usb-c+ Cabo Compatível com iPhone 11 12 13 14 Pro X XR XS,,44.07,"44,07","R$ 93,00",4.3,126.0
Magalu,Smartwatch Samsung Galaxy Watch7 40mm Verde 32GB Bluetooth,,989.1,"989,10","R$ 2.748,90",4.8,472.0
Magalu,Smartwatch Samsung Galaxy Watch7 44mm Verde 32GB Bluetooth,,1169.1,"1.169,10","R$ 2.968,90",4.8,548.0
Magalu,Carregador Turbo Fonte 30w Usb-c+ Cabo Compatível com iPhone 11 12 13 14 Max X XR XS,,45.08,"45,08","R$ 100,00",4.9,12.0
Magalu,Relógio Smartwatch S8 pro a prova d'gua envio imediato,,141.76,"141,76",N/A,4.0,150.0
Magalu,Relógio inteligente 2025 Watch Ultra 7 Pulseiras Bluetooth para android e iOs modo esporte 49mm 2.2,,151.35,"151,35","R$ 599,99",4.0,77.0
Magalu,Smartphone Celular Xiaomi POCO X7 5G 256GB 8GB NFC tela Amoled 120 Hz Câmera tripla 4K 50MP Desempenho Performance e Design Premium IP68 Dual SIM Chip,,2069.99,"2.069,99","R$ 3.499,99",4.8,90.0
Magalu,Carregador Portátil/Power Bank 10.000mAh Geonav Energia Turbo Slim Charge,,62.99,"62,99","R$ 89,00",5.0,8.0
Magalu,"Celular Samsung Galaxy A56 5G 128GB, 8GB RAM, Câmera 50MP, IP67, Super AMOLED 6.7"", Recursos AI",,1699.0,"1.699,00","R$ 2.999,00",4.8,29.0
Magalu,Carregador Turbo Fonte 20w Usb-c+ Cabo Tipo-c Compatível com iphone 15 15 pro 15 plus,,32.2,"32,20","R$ 110,00",3.8,26.0
Magalu,"Relógio Smartwatch Xiaomi Haylou Solar Neo Original Tela Amoled Bateria de até 20 dias, tela de 1.38 IOS e Android, Sicroniza com STRAVA",,271.5,"271,50","R$ 355,90",4.8,9.0
Magalu,Smartwatch Samsung Galaxy Watch7 40mm Creme 32GB Bluetooth,,989.1,"989,10","R$ 2.748,90",4.8,533.0
Magalu,"Smartphone Samsung Galaxy A17 128GB 4GB RAM Azul 6,7"" Câm. Tripla + Selfie 13MP",,1099.0,"1.099,00","R$ 1.399,00",4.8,31.0
Magalu,"Smartphone Samsung Galaxy A05S 4G 128GB 6GB Tela 6,7 Preto",,699.0,"699,00",N/A,4.8,4474.0
Magalu,Smartphone Motorola Moto g35 5G 128GB 4 com 8GB RAM Grafite v,,799.0,"799,00",N/A,4.7,1004.0
Magalu,Xiaomi Redmi 15 Lançamento 2025 Tela 144Hz 50MP camera IA integrada 256GB 128GB 12GB ramboost 7000mAh Smartphone Top 1º Celular Custo benefício,,1266.32,"1.266,32","R$ 3.499,99",4.7,311.0
Magalu,"Smartphone Samsung Galaxy S24 FE Enterprise Edition 256GB 5G 8GB RAM Grafite 6,7"" Câm. Tripla + Selfie 10MP",,2699.0,"2.699,00","R$ 5.699,00",4.9,238.0
Magalu,Smartphone POCO X7 PRO 5G 512GB 256GB Lançamento 2025 NFC tela Amoled 120 Hz Câmera tripla 4K 50MP OIS Design Premium Top de linha proteção IP68,,2375.12,"2.375,12","R$ 5.999,00",4.6,105.0
Magalu,"Smartphone Motorola G86 256GB Grafite 5G 16GB de RAM 6,7"" Câm. Dupla + Selfie 32MP",,1619.1,"1.619,10","R$ 2.748,90",4.8,182.0
Magalu,Smartphone Samsung Galaxy A06 5G 128GB 4GB RAM Cinza Câm. 50MP + Selfie 8MP,,773.1,"773,10","R$ 1.099,00",4.8,595.0
Magalu,Smartphone Xiaomi Redmi Note 14 Lançamento 256GB 128GB Câmera 108MP 20MP até 12GB Ramboost AMOLED 120Hz FHD plus celular Design Premium,,1292.72,"1.292,72","R$ 4.999,99",4.8,300.0
Magalu,"Smartphone Motorola Moto g86 512GB 5G 8GB RAM Lilás 6,7"" Câm. Dupla + Selfie 32MP",,1799.1,"1.799,10","R$ 2.499,00",4.8,12.0
Magalu,"Smartphone Motorola Edge 60 Pro 256GB Azul 5G 24GB RAM 6,7"" Câm. Tripla + Selfie 50MP",,2539.0,"2.539,00","R$ 4.999,00",4.8,291.0
Magalu,Bateria Carregador Portatil 3x USB-C 20000mAh Super Rapida 45W,,198.55,"198,55","R$ 449,00",4.8,301.0
Magalu,"Smarphone Realme C75X 256GB 8GB, Prova D'água RAM Dual SIM Tela 6.67 NFC - Azul",,1117.99,"1.117,99","R$ 1.514,99",5.0,12.0
Magalu,"Smartphone Motorola Edge 60 5G 512GB, 12GB RAM, 12GB Ram Boost, Tela QuadCurve, moto AI, 50MP Sony Camera ultrarresistencia militar, IP68, IP69",,2199.12,"2.199,12","R$ 3.499,00",5.0,58.0
Magalu,Smartphone Celular Xiaomi POCO C75 NFC 120Hz 256GB 8GB câmera tripla 50MP 8MP tela 6.88 120Hz Aparelho Top 1 Custo benefício Garantia 12 Meses Oficial,,1160.99,"1.160,99","R$ 1.999,99",4.6,122.0
Magalu,Smartphone Motorola Edge 50 NEO 5G 256GB 8GB RAM 8GB RAM Boost Câmera Traseira 50MP 13MP 10MP Selfie 32MP 6.4 Mocha Mousse,,1759.0,"1.759,00","R$ 2.899,00",4.8,135.0
Magalu,Controle Gamepad Joystick Celular Bluetooth Android Jogos Pc,,60.8,"60,80","R$ 89,00",4.3,10.0
Magalu,"Celular Smartphone Samsung Galaxy A05S 4G 128Gb 6Gb RAM Plus Câm 50Mpx 6,7 Selfie 13Mpx 5000mAh Violeta Lilás Roxo",,1059.75,"1.059,75","R$ 1.377,50",4.8,4261.0
Magalu,"Smartphone Celular Realme C75 com NFC 256GB 8GB RAM Tela 6,72DOURADO Maior Resistência a água, Lançamento",,1182.57,"1.182,57","R$ 2.199,00",4.8,63.0
Magalu,Smartwatch Samsung Galaxy Watch7 Prata 32GB Bluetooth,,1169.1,"1.169,10","R$ 2.968,90",4.7,218.0
Magalu,"Smartphone Motorola Moto g06 128GB 4GB Ram Azul Marinho 6,9"" Câm. 50MP + Selfie 8MP",,599.0,"599,00","R$ 799,00",4.9,86.0
Magalu,Smartphone Realme C75X 256GB 128GB 16GB RAM BOOST IP69 Prova dágua 5600mAh Câmera dupla 50MP Celular Resistente e Poderoso com Design Premium,,1213.52,"1.213,52","R$ 2.999,00",4.8,29.0
Magalu,"Smartphone Samsung Galaxy S25 Ultra 256GB 5G - Titânio Azul, com Caneta S Pen, Galaxy AI, Câmera Quadrupla 200MP + Selfie 12MP, RAM 12GB, Tela 6.9""",,5999.0,"5.999,00",N/A,4.9,240.0
Magalu,Tripe Profissional Celular Camera Youtuber Universal Suporte,,47.99,"47,99",N/A,4.8,17.0
Magalu,Smartphone Celular Xiaomi POCO C75 NFC 120Hz 256GB 8GB câmera tripla 50MP 8MP tela 6.88 120Hz Aparelho Top 1 Custo benefício Garantia 12 Meses Oficial,,1115.91,"1.115,91","R$ 2.199,90",4.7,22.0
Magalu,Carregador Portátil/Power Bank Geonav 6000mAh,,71.99,"71,99","R$ 111,00",4.0,271.0
Magalu,"Smartphone Xiaomi Redmi 14C 128GB 4GB RAM Dual SIM Tela 6.88"" (Midnight Black) Preto",,764.99,"764,99","R$ 1.149,99",4.7,14.0
Magalu,Smartphone Xiaomi Poco X7 Pro 5G 12gb 512gb,,2356.99,"2.356,99","R$ 4.599,90",4.8,48.0
Magalu,"Smartphone Motorola Moto G75 256GB Azul 5G 8GB RAM 6,8"" Câm. Dupla Selfie 16MP",,1309.0,"1.309,00","R$ 2.299,00",4.8,1449.0
