e_commerce,produto,preco_bruto,preco_numerico,preco_bruto_vista,preco_original,nota_media,num_comentarios
Kabum,"Smartphone LG K41S, 32GB, 3GB RAM, Octa Core, Câmera Traseira Quádrupla de 13MP, Tela 6.5 - Preto","R$ 999,99",999.99,,,,
Kabum,"iPhone 17 Pro Max Apple 256GB, Câmera Tripla Fusion de 48MP, Tela 6.9"" Super Retina XDR, Laranja-cósmico","R$ 11.249,10",11249.1,,,,
Kabum,Smartphone TCL L5 16GB Preto 4G Quad-Core,"R$ 399,99",399.99,,,,
Kabum,"iPhone 16 Apple, 128GB, Ultramarino","R$ 4.896,00",4896.0,,,,
Kabum,"iPhone 16e Apple 128GB, Câmera 48MP, Tela Super Retina XDR 6,1"", Preto","R$ 4.299,90",4299.9,,,,
Kabum,"iPhone 16E Apple 256GB, Câmera 48MP, Tela Super Retina XDR 6,1"", Branco","R$ 4.999,90",4999.9,,,,
Kabum,"Smartphone Samsung Galaxy S24, 256GB, 8GB RAM, Câmera Tripla 50 MP Tela Infinita 6.2, Preto + Selfie 12MP","R$ 2.998,80",2998.8,,,,
Kabum,"Smartphone Apple Iphone 15, 256GB, Preto","R$ 4.999,00",4999.0,,,,
Kabum,"Smartphone Xiaomi Poco X7 Pro, 5G, 512GB, 12GB RAM, Câmera 50MP, Tela 6.67"" AMOLED, Dual Sim, Preto","R$ 2.429,10",2429.1,,,,
Kabum,"Smartphone LG K62, 64GB, 4GB RAM, Octa Core, Câmera Quádrupla 48MP, Tela 6.6, Android 10, Vermelho","R$ 1.199,99",1199.99,,,,
Kabum,"Celular Xiaomi Poco F7 512gb 12gb Ram De 6.83"" 50+8mp 20mp - Preto (global)","R$ 2.999,00",2999.0,,,,
Kabum,"Celular Xiaomi Redmi 15 256gb 8GB Ram De 6.9"" 50mp 8mp - Midnight Black (global)","R$ 1.150,00",1150.0,,,,
Kabum,"Smartphone Samsung Galaxy A56 256gb - Preto, 5g, Câmera Tripla 50mp, Ram 8GB, Tela 6.7""","R$ 2.049,00",2049.0,,,,
Kabum,"Celular Samsung Galaxy A36 5g 128GB, 6gb Ram, Câmera 50mp, Ip67, Super AmoLED 6.7”, Recursos Ai Preto - 128 Gb - #000000 - Bi-volt","R$ 1.766,00",1766.0,,,,
Kabum,Samsung Galaxy S24 Fe 5g 128GB Tela 6.7 8GB Ram Grafite Cor: Grafite,"R$ 2.299,08",2299.08,,,,
Kabum,"iPhone 14 Apple, 128GB, Estelar","R$ 3.598,00",3598.0,,,,
Kabum,Smartphone Motorola Edge 60 Fusion 256gb Dual Chip 5g Tela 6.7” Câmera Tripla 50mp+50mp+10mp Cinza,"R$ 1.709,10",1709.1,,,,
Kabum,"iPhone 16e Apple, 128GB, 48MP","R$ 3.494,00",3494.0,,,,
Kabum,"Smartphone Xiaomi Redmi Note 14, 128GB, 6GB RAM, Câmera Traseira 108MP, Tela 6.67"" Amoled, Preto","R$ 1.140,14",1140.14,,,,
Kabum,"Celular Samsung Galaxy A56 5g 256gb, 8GB Ram, Câmera 50mp, Ip67, Super AmoLED 6.7”, Recursos Ai - Preto","R$ 2.018,79",2018.79,,,,
Kabum,"Smartphone Motorola Edge 50 Neo, 5G, 256GB, 16GB RAM Boost, 50MP, Sony Camera Moto AI IP68 NFC, Grisaille - PB320006BR","R$ 2.999,00",2999.0,,,,
Kabum,"Smartphone Samsung Galaxy A36 128GB 5g - Preto, Câmera Tripla 50mp, Ram 6gb, Tela 6.7""","R$ 1.699,00",1699.0,,,,
Kabum,"iPhone 16E Apple 512GB, Câmera 48MP, Tela Super Retina XDR 6,1"", Preto","R$ 6.299,90",6299.9,,,,
Kabum,"Smartphone LG K61, 128GB, 4GB RAM, Octa Core, Câmera Quadrupla 48 MP, Tela 6.53, Titânio - Lmq630baw","R$ 1.399,00",1399.0,,,,
Kabum,"Smartphone Samsung Galaxy A16 5g 256gb 4gb Ram Dual Sim Tela 6.7"" Preto","R$ 1.654,87",1654.87,,,,
Kabum,"Smartphone TCL L7, 32GB, 2G RAM, Tela de 5.5, Quadcore, Câmera 8MP, Frontal de 5MP, Preto","R$ 649,99",649.99,,,,
Kabum,Usado - Iphone 12 64gb Preto Muito Bom,"R$ 1.781,10",1781.1,,,,
Kabum,"Smartphone LG K41s, 32GB, 3GB RAM, Octa-core, Câmera Quad 13MP, Tela 6.5, Titanium - K410bmw","R$ 999,99",999.99,,,,
Kabum,"Smartphone Motorola Moto G15 256gb - Verde, 12gb Ram Boost, Câmera 50mp, Selfie 8mp E Tela 6,7""","R$ 799,00",799.0,,,,
Kabum,"Smartphone LG K52, Android 10, Tela 6.6"", Octa-core 3GB RAM, 64GB, Câmera Quádrupla 13MP+5MP+2MP+2MP, Selfie De 8MP, Cinza","R$ 1.099,99",1099.99,,,,
Kabum,"Smartphone Infinix Smart 7, 64GB, 3GB RAM, Câmera Dupla 13MP, Tela 6.6 LCD IPS, Preta","R$ 534,09",534.09,,,,
Kabum,"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto","R$ 9.100,00",9100.0,,,,
Kabum,"Smartphone Xiaomi Redmi Note 14 Pro, 5G, 256GB, 8GB RAM, Bateria 5500mah, Câmera 200mp, Preto","R$ 2.590,00",2590.0,,,,
Kabum,"iPhone 17 Pro Apple 256GB, Câmera Tripla Fusion de 48MP, Tela 6.3"" Super Retina XDR, Laranja-cósmico","R$ 10.349,10",10349.1,,,,
Kabum,"iPhone 16 Pro Max Apple 512GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Preto","R$ 9.999,90",9999.9,,,,
Kabum,"iPhone 17 Pro Max Apple 512GB, Câmera Tripla Fusion de 48MP, Tela 6.9"" Super Retina XDR, Prateado","R$ 12.599,10",12599.1,,,,
Kabum,"Celular Samsung Galaxy A06, 128GB, 4gb Ram, Tela 6.7”, Câm. Traseira 50+2mp, Frontal 8mp Branco","R$ 739,41",739.41,,,,
Kabum,"Smartphone Motorola Edge 60 Pro 5g - Azul, 256gb, Ram 24gb (12gb Ram+12gb Ram Boost), Câmera 50mp E Tela De 6,7”","R$ 2.539,00",2539.0,,,,
Kabum,Usado: Iphone 13 128 Gb Preto - Muito Bom,"R$ 2.474,10",2474.1,,,,
Kabum,"iPhone 16e Apple 128GB, Câmera 48MP, Tela Super Retina XDR 6,1"", Branco","R$ 4.299,90",4299.9,,,,
Kabum,"Smartphone Motorola Moto G53, 5G, 128GB, 4GB RAM, Octa Core, Câmera Dupla 50MP, Tela de 6.5, Prata - PAWR0001BR","R$ 1.549,00",1549.0,,,,
Kabum,"iPhone 15 Apple, 128GB, Azul","R$ 4.199,00",4199.0,,,,
Kabum,"iPhone 16 Apple, 5g, 128GB, Tela 6.1'', Câmera 48mp, Branco","R$ 4.896,00",4896.0,,,,
Kabum,"Samsung Galaxy S25 5G 256GB Galaxy AI Prata 6,2"" 12GB RAM Câm. Tripla 50+12+10MP Bateria 4000mAh Dual Chip","R$ 3.799,00",3799.0,,,,
Kabum,"Celular Samsung Galaxy A16, 128GB + 4gb Ram, Câmera De Até 50mp, Tela 6.7”, Nfc, Ip54, Bateria 5000 Mah Cinza","R$ 778,95",778.95,,,,
Kabum,"iPhone 17 Pro Max Apple 256GB, Câmera Tripla Fusion de 48MP, Tela 6.9"" Super Retina XDR, Prateado","R$ 11.249,10",11249.1,,,,
Kabum,Smartphone Samsung A16 5g 128GB Tela 6.7' Azul Escuro,"R$ 1.169,99",1169.99,,,,
Kabum,"iPhone 17 Pro Max Apple 512GB, Câmera Tripla Fusion de 48MP, Tela 6.9"" Super Retina XDR, Laranja-cósmico","R$ 12.599,10",12599.1,,,,
Kabum,"Celular Xiaomi Redmi 15 256gb 8GB Ram De 6.9"" 50mp 8mp - Sandy Roxo (global)","R$ 1.150,00",1150.0,,,,
Kabum,Smartphone Tcl L10 Lite Cinza Titânio Tela 6.22'' Dual 4G 32Gb + 2Gb Ram Octa-core Câmera Dupla + Capa E Película,"R$ 854,99",854.99,,,,
Kabum,"Smartphone Xiaomi Redmi Note 14, 256GB, 8GB RAM, Câmera 108MP, Tela 6.67"" 120Hz, Ocean Blue","R$ 1.269,00",1269.0,,,,
Kabum,"iPhone 17 Pro Max Apple 512GB, Câmera Tripla Fusion de 48MP 48MP, Tela 6.9"" Super Retina XDR, Azul-intenso","R$ 12.599,10",12599.1,,,,
Kabum,"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto","R$ 9.599,00",9599.0,,,,
